"RDA1" "RDA2" "" ""
"bom_hyp" -0.843445761455941 -0.537214340354023 0.053224477269095 0.465
"bom_lap" 0.378865034310047 0.925451935962774 0.16888628627166 0.067
"bom_mus" -0.605566801532865 0.795794476533518 0.118338802044108 0.15
"bom_pas" 0.750564027029941 0.660797731025613 0.365973699386214 0.006
"bom_pra" 0.362190134624061 0.932104235791794 0.107490935107268 0.202
"bom_rud" 0.556218735594661 0.831035930735535 0.215808943898412 0.034
"bom_sch" 0.0965651888292088 0.995326662109671 0.291161935787638 0.004
"bom_sem" 0.521258412439862 0.853398891176146 0.122093273136454 0.159
"bom_sor" -0.95016625971541 0.311743610838183 0.00585931498117899 0.916
"bom_sub" -0.808089355234993 -0.589059923909184 0.120801674247083 0.095
"bom_syl" -0.994645369832326 0.103346931599906 0.0348588951028992 0.599
"bom_ter.luc" 0.943400950804864 0.331654407509502 0.02629028130584 0.659
"bom_vet" -0.166836409876878 -0.985984590315383 0.00326078347080151 0.949
"cer_cya" 0.327743454948267 -0.944766758379322 0.0302514126235315 0.655
"meg_eri" 0.984403973606549 -0.175922757901405 0.00726338724419868 0.966
"che_rap" -0.995102345440525 -0.0988499979704869 0.0936256104837852 0.295
"col_cun" -0.970935942897959 -0.239339496926125 0.0448373327221928 0.514
"col_dav" 0.996578437388428 -0.082652393386027 0.122217013133054 0.132
"col_fod" 0.908596659990727 -0.417674645452289 0.448375220633302 0.001
"col_mar" 0.349383969626831 0.93697963786189 0.0519690214530899 0.464
"col_nas" 0.996348587492871 0.0853785230661698 0.0479268244133723 0.498
"col_sim" 0.993433756079991 -0.114408794595523 0.0640756939300686 0.356
"das_arg" -0.0519989143324321 0.998647141340848 0.0340065608493412 0.76
"das_hir" -0.898823204642133 0.43831135827953 0.103954506225837 0.237
"euc_lon" 0.378071337358206 0.925776465389015 0.167013722072313 0.061
"hal_con" 0.257918147250949 -0.966166770965882 0.0213116362640478 0.74
"hal_gav" -0.0531157913536702 0.998588359990679 0.0309905683294496 0.817
"hal_leu" 0.797386035335298 0.603469560667525 0.0641418313037345 0.38
"hal_mac" -0.444366230112995 0.895845217398165 0.0259450481257027 0.685
"hal_qua" -0.963833640694774 -0.266504621095126 0.162271959047207 0.076
"hal_rub" -0.160665544355176 -0.987008907182228 0.0290379663467183 0.687
"hal_sex" 0.996123073612016 -0.0879705758634686 0.0871395225279026 0.268
"hal_sim" 0.16222102299634 0.986754447518744 0.114511859737074 0.176
"hal_sub" -0.948840251263579 -0.315756516293913 0.0964269885446689 0.231
"hal_tum" 0.303198325121768 0.952927476591663 0.254841786141241 0.013
"her_cre" -0.313470651554719 -0.949597888905541 0.0473814185042289 0.499
"her_tru" -0.949200965535953 -0.314670505490447 0.0158220575440605 0.801
"hop_adu" 0.496699367273588 0.867922657009262 0.0869173169479921 0.272
"hop_cla" -0.263395451388 0.96468794757067 0.0525553164316797 0.513
"hop_leu" 0.937984061128989 -0.346678382752616 0.113450599374649 0.157
"hop_tri" -0.0519989143324321 0.998647141340848 0.0340065608493412 0.76
"hyl_ang" 0.585660089998214 0.810556758643886 0.0236372010615053 0.872
"hyl_bre" -0.0533518919116367 -0.998575773604311 0.0279061322452051 0.657
"hyl_com" -0.503886718138943 -0.863769746682045 0.115286934214072 0.16
"hyl_con" 0.916968475341271 -0.398959666169783 0.351380067198687 0.003
"hyl_dif" 0.330016889223044 0.943975027650385 0.0446091719352777 0.522
"hyl_dil" 0.592596998014901 0.805499098661027 0.137614223744794 0.122
"hyl_gib" 0.787075284526125 0.616856949776947 0.0400409329426235 0.558
"hyl_gre" 0.585660089998214 0.810556758643886 0.0236372010615053 0.872
"hyl_nig" -0.729016946959355 0.684495647207534 0.0787106595785213 0.298
"hyl_rin" 0.152944560020163 0.988234770467139 0.0862760369390297 0.393
"hyl_sty" 0.350072267358479 0.936722695159295 0.0527285217031894 0.433
"las_alb" 0.829015828212944 -0.559225139431701 0.123757778504408 0.143
"las_bre" -0.107347325871926 0.994221580749556 0.0120768107229989 0.966
"las_cal" 0.0183995378924926 -0.999830714173826 0.00225517548152445 0.97
"las_cos" 0.725402724873907 0.688324695725434 0.227891268001615 0.017
"las_fra" 0.78462868400187 -0.619965989584504 0.0668203595464321 0.421
"las_ful" -0.996431501938112 -0.084405343109057 0.108203882169832 0.19
"las_lat" -0.882087996403795 -0.471084670309211 0.245265685454401 0.001
"las_leu" 0.0837641028121572 -0.996485612078807 0.140036909416746 0.107
"las_leuc" 0.479347617294146 -0.877625126004506 0.0903705128000537 0.251
"las_lin" 0.934257937464788 -0.356597961693614 0.00118386486207627 0.98
"las_luc" 0.844937009101614 -0.534865824904171 0.233847303502847 0.02
"las_qua" 0.784628684001871 -0.619965989584503 0.0668203595464321 0.421
"las_maj" 0.991893304472296 -0.127073492684467 0.133139856856522 0.131
"las_min" -0.406900767425698 -0.913472367107171 0.00639465648184836 0.877
"las_mor" 0.0912311987517346 -0.995829738647286 0.0691932060432264 0.355
"las_pau" 0.506697726123152 -0.862123781333996 0.06543111780204 0.391
"las_pun" 0.152944560020163 0.988234770467139 0.0862760369390297 0.393
"las_sex" -0.813618950425337 0.581398489427667 0.0442253546975101 0.498
"las_sexs" 0.547183810382101 -0.83701247162496 0.0241603684588176 0.81
"las_sub" 0.707115563714635 -0.707097998549376 0.0936949124167923 0.297
"las_vil" 0.908766637285498 -0.417304683602771 0.018078005763682 0.749
"las_zon" 0.686830810041222 -0.726817334946077 0.043177462205488 0.55
"mac_eur" -0.996476006598785 0.0838782944088515 0.142840175166263 0.105
"meg_alp" -0.105340789849081 0.994436180955808 0.0605163830370826 0.487
"meg_cen" -0.858779092696669 -0.512346045117054 0.00891128020425655 0.891
"meg_cir" 0.0238822280893087 0.999714778915212 0.203107912644421 0.014
"meg_lag" -0.209116521656504 -0.977890730281397 0.0226775494317772 0.793
"meg_lig" -0.824926263810219 -0.565240355314544 0.109245553823267 0.192
"meg_mar" 0.217710643617199 0.976013358338801 0.0956342230551076 0.219
"meg_pli" 0.669868913592785 0.742479385977834 0.020900832215227 0.75
"meg_rot" 0.0508742750944964 0.998705065639305 0.0500350367724925 0.492
"meg_ver" -0.337826327611557 0.941208463823232 0.0489056788847638 0.493
"meg_wil" -0.757576710052802 -0.652746143907089 0.0812200735858449 0.294
"mel_hae" -0.990474441962057 -0.137696695021893 0.0595196127748296 0.563
"mel_lep" 0.991791586499273 0.127864963728362 0.146700120544716 0.103
"mel_nig" -0.105340789849081 0.994436180955808 0.0605163830370826 0.487
"mel_tri" -0.897249523133133 -0.441523830882735 0.0359837236465709 0.626
"osm_bic" -0.227554458606327 -0.973765355908897 0.140200333086528 0.106
"osm_cae" 0.156700653704316 -0.987646143681349 0.110730300651296 0.202
"osm_lea" 0.152944560020163 0.988234770467139 0.0862760369390297 0.393
"pan_cal" -0.997585046363858 -0.0694555632848748 0.096454347392594 0.226
"rho_can" -0.0519989143324321 0.998647141340848 0.0340065608493412 0.76
"rop_qui" -0.525977853660926 0.850498264230001 0.0859913089328574 0.266
"sys_cur" -0.999954898118897 -0.00949745902995747 0.095747082257464 0.225
"tet_den" -0.947782089985206 0.318918657189062 0.120489840996642 0.16
"tet_mal" 0.115782567632418 0.993274582898629 0.0400358104847097 0.643
"tet_sal" -0.392720327298725 0.91965794974348 0.298292792169246 0.007
"tra_bys" 0.703917415454932 0.710281825910849 0.150529443795122 0.104
"aly_spi" -0.975798964925239 -0.218669568186415 0.0628334310514015 0.435
"amm_cam" 0.717682228846861 0.696370747804215 0.167266113621373 0.052
"amm_sab" -0.0864240372000523 0.996258443273654 0.136597369780875 0.115
"ast_boo" -0.494757656194919 -0.869030990032295 0.164231409485269 0.071
"ast_min" 0.218230824937533 0.975897180571337 0.0182750244212182 0.903
"bem_tri" 0.972856944883072 -0.23140735682509 0.0412346071089284 0.574
"bem_ros" 0.160113723470608 0.987098574386762 0.0817402962610619 0.258
"cer_alb" 0.526305582165311 0.850295498154397 0.146393330342804 0.067
"cer_are" 0.834576641846588 0.550891848627362 0.0836202028190143 0.278
"cer_int" 0.984458969174202 -0.175614743152355 0.0674855747723653 0.361
"cer_qui" 0.14983366175685 0.988711218609627 0.207475034401909 0.039
"cer_ruf" 0.25871049218488 0.965954906418233 0.265702162554147 0.011
"cer_ryb" -0.999445809882471 -0.0332877321001447 0.177741428840771 0.058
"cra_cri" -0.902577818847577 -0.430526748210086 0.47450932726624 0.001
"cra_pel" 0.19462802924096 -0.98087712290265 0.0669995784718193 0.385
"cro_wes" 0.707115563714635 -0.707097998549376 0.0936949124167923 0.297
"dio_lup" -0.903884902748808 0.427775738656106 0.0516046264319135 0.523
"dio_min" -0.485457586941068 -0.874260219432038 0.0186325258571306 0.792
"dui_tri" -0.982168891262129 -0.188000715522362 0.267096852710032 0.009
"din_pic" -0.748403745591386 -0.663243419556337 0.0433526711694199 0.645
"dry_pin" -0.436498214529649 -0.899705123200056 0.0594568215164303 0.423
"dry_sti" 0.796627968968753 -0.604469915758196 0.103526718392949 0.206
"ect_con" 0.762965539845334 -0.646439158009877 0.627452083841054 0.001
"ect_cont" 0.819159725970823 -0.573565465616093 0.329929308543644 0.004
"ect_div" 0.830808177142016 -0.556558867321293 0.424835137475672 0.001
"ect_lap" 0.723384588842482 -0.690445317621311 0.513205107866398 0.001
"ect_rub" 0.726703752194515 -0.68695098554876 0.808359520377448 0.001
"ent_bre" -0.854228414046585 -0.519897890585695 0.1927112345204 0.045
"har_lae" -0.808089355234993 -0.589059923909184 0.120801674247083 0.095
"gor_lat" 0.585660089998214 0.810556758643887 0.0236372010615053 0.872
"gor_qui" -0.613849092370133 0.789423391974398 0.0520797457191451 0.451
"gor_qua" -0.667374241932414 0.744722512889959 0.00500624667377102 0.926
"har_lun" 0.567258736617695 -0.823539632155549 0.0476909120279242 0.617
"les_ala" -0.0273543430380966 0.999625799945637 0.072360314319151 0.295
"les_cly" -0.822766809079786 -0.568379079379834 0.109996597269813 0.173
"les_sub" -0.105340789849081 0.994436180955808 0.0605163830370826 0.487
"lin_alb" -0.935520889563706 -0.353271376125965 0.481022952396889 0.001
"lin_pyg" -0.86661331807417 -0.49898031718343 0.443753475190455 0.001
"mim_bru" 0.682616560411348 -0.730776731602875 0.103825389940572 0.184
"mim_atr" -0.981425048942125 -0.191845962451515 0.0445164357709294 0.634
"mim_bea" -0.898743591098995 -0.438474580173678 0.0329027885981504 0.81
"mim_uni" -0.228926666156939 -0.973443671468601 0.0334339544822585 0.672
