"RDA1" "RDA2" "" ""
"mel_hae" -0.994843987293722 -0.101417162973184 0.0591232586192362 0.542
"mel_lep" 0.994936786625235 0.10050268961501 0.14766764798132 0.11
"mel_nig" -0.0654920131464559 0.997853093503259 0.0632942665321495 0.49
"mel_tri" -0.898947121213951 -0.438057157527587 0.0386916643935295 0.584
"osm_coe" 0.12615345596462 -0.992010738625436 0.111652709415373 0.192
"osm_lea" 0.187811743270514 0.982205044321037 0.0909026362356063 0.314
"osm_ruf" -0.25825302752264 -0.96607731252493 0.142041398755063 0.108
"nom_arm" 0.713672548981215 -0.700479473525566 0.166584472598343 0.049
"nom_flg" 0.187811743270514 0.982205044321037 0.0909026362356063 0.314
"nom_fla" 0.888635021229935 0.458615088111668 0.157449553060331 0.073
"nom_fuc" -0.0526558569082086 0.998612718091084 0.137277310924058 0.127
"nom_ful" -0.36531752988843 0.930882969205161 0.1100371407346 0.171
"nom_fur" -0.00198318180934424 0.999998033493022 0.0376488926342233 0.757
"nom_fus" 0.999657497742806 0.0261703497605894 0.111603815363985 0.184
"nom_fat" -0.899240935320628 0.437453700685777 0.0707849950937098 0.385
"nom_ita" 0.063503454802298 0.997981618682515 0.0946665916769309 0.228
"nom_moe" -0.130117033080899 0.991498642309824 0.0377463476184032 0.618
"nom_rob" 0.785250603713901 0.619178075651064 0.190114243527714 0.032
"nom_she" 0.667024243314238 -0.745036011767933 0.103261284129459 0.231
"nom_sig" -0.812064139247125 0.583568191172914 0.0298565263793053 0.707
"nom_sti" 0.454032542450963 -0.890985101107484 0.0773560164579582 0.395
"nom_str" -0.995122790577935 -0.0986439641964152 0.14221305633681 0.11
"nom_suc" -0.710751108398418 0.70344357407714 0.0615728066969623 0.363
"pan_cal" -0.998076968029036 -0.0619868202924308 0.0991202996732169 0.232
"rho_can" -0.00198318180934424 0.999998033493022 0.0376488926342233 0.757
"rop_qui" -0.507861869386657 0.861438518771415 0.0852416680360504 0.31
"sph_cra" 0.0862965586931283 0.996269493640011 0.201598942834195 0.022
"sph_eph" -0.346679870625782 -0.93798351121056 0.0211133493704661 0.76
"sph_fer" 0.571148293970259 -0.820846895769767 0.181767912114777 0.054
"spg_geo" 0.088715069099305 0.996057044809536 0.156770454069995 0.061
"sph_gib" -0.999426582853444 -0.0338600869149485 0.0417842024917792 0.534
"sph_hya" -0.130117033080899 0.991498642309824 0.0377463476184032 0.618
"sph_lon" -0.957875046011247 0.287185299465261 0.0335813813225978 0.663
"sph_min" 0.819395704666285 0.573228295859897 0.0512565138607272 0.528
"sph_mon" -0.0528507373832852 0.998602423168522 0.00561288452132454 0.904
"sph_pel" -0.0412248423980218 0.999149894845242 0.104093608185353 0.222
"sph_pun" 0.184703793376422 0.982794235184741 0.253124060017342 0.004
"sph_ret" -0.960994979589333 0.276565813512982 0.00104439132477557 0.987
"ste_orn" -0.985002621886592 -0.172539371960544 0.0500995824255582 0.495
"ste_pun" 0.862412294738558 0.506206513079172 0.0490404639285034 0.465
"ste_sig" 0.689549011431111 -0.724239021894276 0.0491722455237758 0.522
"sys_cur" -0.999966204760757 0.00822127340306955 0.0970796669016715 0.24
"tet_den" -0.936183195161296 0.351512482136249 0.120520697015886 0.16
"tet_mal" 0.143094821118212 0.989708983575044 0.0394103343847366 0.673
"tet_sal" -0.375757902237239 0.926717863703009 0.29282760673371 0.006
"thy_his" 0.717838130961821 -0.696210038520876 0.187077359307376 0.034
"thy_orb" 0.680437985492128 -0.732805668577567 0.094517716734459 0.293
"tra_bys" 0.726559009835396 0.687104071612888 0.151563967377568 0.088
"aly_spi" -0.981640986212059 -0.190737972592288 0.0631195847809572 0.419
"amm_cam" 0.740806184501977 0.671718837761472 0.168097609912421 0.053
"amm_sab" -0.0499629852016434 0.998751070141975 0.141348923593749 0.107
"ast_boo" -0.521088452446256 -0.853502679976558 0.166796129180252 0.082
"ast_min" 0.240870010242407 0.970557385302808 0.0165727329257082 0.95
"bem_tri" 0.966467663672527 -0.25678834684496 0.0413885751773926 0.591
"bem_ros" 0.18945568685004 0.981889272128064 0.0812531290263141 0.263
"cer_alb" 0.554547902052663 0.832151803656635 0.146541098043802 0.059
"cer_are" 0.850945934583759 0.525253287867267 0.0839398966004346 0.274
"cer_int" 0.971998634575134 -0.234986498301656 0.0667860110786201 0.373
"cer_qui" 0.184103603725951 0.982906843548827 0.216182251004553 0.026
"cer_ruf" 0.288257113550192 0.957553046304857 0.263137095276544 0.01
"cer_ryb" -0.999869666876871 -0.016144635627212 0.180076268010509 0.058
"cra_cri" -0.917672434860035 -0.397337768527048 0.470802189498467 0.001
"cra_pel" 0.167493495186087 -0.985873181028041 0.0669190854456562 0.372
"cro_wes" 0.680437985492128 -0.732805668577567 0.094517716734459 0.293
"dio_lup" -0.898951910871816 0.438047328424579 0.0516381699051735 0.531
"dio_min" -0.509968864964494 -0.860192860216141 0.0198008308842205 0.766
"dio_tri" -0.986898670721793 -0.161341295791123 0.269119296801901 0.009
"din_pic" -0.770998051653858 -0.636837502308049 0.0431237536430342 0.659
"dry_pin" -0.464706395466229 -0.885464830477634 0.0598365348744629 0.426
"dry_sti" 0.777053788523581 -0.629434198102669 0.103814638507268 0.189
"ect_con" 0.746713411578058 -0.665145909533734 0.626283948742424 0.001
"ect_ont" 0.810209698989798 -0.586140122891157 0.327612962262323 0.006
"ect_div" 0.815298434555012 -0.579040985261101 0.424696957356446 0.001
"ect_lap" 0.701988870989019 -0.712187914112253 0.514775336322835 0.001
"ect_rub" 0.710483707622035 -0.703713650005204 0.805431120623708 0.001
"ent_bre" -0.873457315086786 -0.486900727788924 0.190045514272717 0.038
"har_lae" -0.832086894300927 -0.554645292355968 0.117368203947653 0.118
"gor_lat" 0.625548948318151 0.78018492247547 0.0205452503973441 0.889
"gor_qui" -0.619957334993908 0.784635522256832 0.049852012613092 0.476
